Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2015-12-02,48.34245681762695,48.99916471863138,48.21111724153953,48.43877451087119,47274900
2015-12-03,47.458091735839844,48.832800010625625,47.22167649021445,48.587630129320374,38627800
2015-12-04,48.95538330078125,49.235578395737555,47.37052708103108,47.38803969198947,43963700
2015-12-07,48.867828369140625,49.0079259303309,48.41251046022492,48.85031575646818,30709800
2015-12-08,48.85032272338867,49.12175990805006,48.14983481753535,48.57012756104734,32878000
2015-12-09,48.14106369018555,48.9203564813464,47.729525696574754,48.48255124225029,36373200
2015-12-10,48.39499282836914,48.73648038959194,48.167332227427956,48.50006515331716,31775800
2015-12-11,47.335506439208984,48.246138851575566,47.291723240571635,47.904651279414466,39549500
2015-12-14,48.28116989135742,48.34246236860736,47.00277916558814,47.571927414554075,46768900
2015-12-15,48.333702087402344,48.94663012851181,48.23738439434654,48.736482130918326,39843000
2015-12-16,49.14803695678711,49.25310932141954,47.94844771148845,48.63142643207483,37503300
2015-12-17,48.771514892578125,49.72593065463721,48.62265934206781,49.34941780005126,41280900
2015-12-18,47.39679718017578,49.03418787577463,47.309234126284224,48.83279786210751,84684200
2015-12-21,48.009727478027344,48.465042019143546,47.484359150280056,48.05350733695901,37246300
2015-12-22,48.46503448486328,48.57886477254106,47.72076697816008,48.149817545444876,28322200
2015-12-23,48.87657928466797,48.929117118685895,48.54384634959927,48.7715069568212,27279800
2015-12-24,48.745243072509766,48.999170961562875,48.535098387919945,48.91161123301537,9558500
2015-12-28,48.99042510986328,48.99042510986328,48.14108156185015,48.46505662379933,22458300
2015-12-29,49.51578140258789,49.77846392855861,49.08673405621328,49.28812410413048,27731400
2015-12-30,49.305625915527344,49.71716055798226,49.288113305607524,49.44572345469709,21704500
2015-12-31,48.57887268066406,49.2005553665431,48.52633484544742,49.069215788785236,27334100
2016-01-04,47.98346710205078,47.98346710205078,46.74885611237689,47.56317435452242,53778000
2016-01-05,48.202354431152344,48.5000621166895,47.755794572941,48.09728211278299,34079700
2016-01-06,47.326759338378906,47.63322509831605,46.96775907230785,47.56317463655104,39518900
2016-01-07,45.680606842041016,46.8364159941383,45.59304711151665,46.14468276635109,56564900
2016-01-08,45.82069396972656,46.65252118001623,45.663083830049054,45.855715847285985,48754000
2016-01-11,45.794429779052734,46.27601489965545,45.05891680461236,45.97830718761556,36943800
2016-01-12,46.21472930908203,46.49492445150957,45.58429190871487,46.19721669515662,36095500
2016-01-13,45.21652603149414,47.344259829987266,44.918818325609,47.10784459235592,66883600
2016-01-14,46.50367736816406,46.77511450399705,45.155236304346744,45.53174911229819,52381900
2016-01-15,44.64738082885742,45.50547871734619,44.07823266823852,44.92757592141747,71820700
2016-01-19,44.2708740234375,45.251556979788205,43.83306871468582,45.07643418824965,43564500
2016-01-20,44.472251892089844,44.98886214862242,42.992468215821226,43.76300628357236,63273000
2016-01-21,44.2008171081543,45.16399065069624,44.04320695283268,44.656134963506844,40191200
2016-01-22,45.785682678222656,45.82070790662401,44.88380141793073,45.015144354341,37555800
2016-01-25,45.34787368774414,46.10089933671479,45.225288738412054,45.47921327337593,34707700
2016-01-26,45.680606842041016,45.91702212268435,45.13772916437278,45.34787719389672,28900800
2016-01-27,44.84877014160156,45.7068680166728,44.67364737644257,45.540499886686746,36775200
2016-01-28,45.58428192138672,45.715621486767034,44.8750362436532,45.40915916069079,62513800
2016-01-29,48.23738479614258,48.23738479614258,47.282969173659296,47.92216446722125,83611700
2016-02-01,47.904640197753906,48.23737305733074,47.72076283069368,48.05349569027051,44208500
2016-02-02,46.40735626220703,47.5106240168707,46.10089392485295,47.431818938666936,56313800
2016-02-03,45.67185974121094,46.7488606372828,44.88380867569973,46.62627565824554,57559800
2016-02-04,45.5317497253418,46.24099549083929,44.980114129954856,45.619309446430215,46987100
2016-02-05,43.920623779296875,45.531747278130595,43.395258800624845,45.47920944418777,62009000
2016-02-08,43.263916015625,43.404013566370345,42.19567010357356,43.38650095500354,59290500
2016-02-09,43.150089263916016,43.99067797777376,42.61596626392172,42.92243197778517,46740500
2016-02-10,43.52660369873047,44.12201919548205,43.360238881181154,43.68421387964644,38237000
2016-02-11,43.50908660888672,43.87684477325074,42.47586590260138,42.62472143156917,48878600
2016-02-12,44.21833038330078,44.37594054099103,43.56162250632107,43.99942775764088,34243300
2016-02-16,45.05615234375,45.05615234375,44.20953138327483,44.88859299662658,37291200
2016-02-17,46.229068756103516,46.5377349224477,45.37363040543886,45.408907115450575,40789000
2016-02-18,46.026214599609375,46.69645836927301,45.94684371541687,46.149683036041765,27176000
2016-02-19,45.69992446899414,46.10559647864308,45.44417340736566,45.83221042891831,33559100
2016-02-22,46.43191146850586,46.74057429269429,46.105606923880984,46.105606923880984,25008300
2016-02-23,45.135501861572266,46.184958385816564,44.95912173741942,46.1585025446535,28895300
2016-02-24,45.294254302978516,45.41771940970828,44.27125337899662,44.70338125255081,33014500
2016-02-25,45.94684982299805,45.94684982299805,44.63282467735026,45.62054875090832,26939500
2016-02-26,45.24132537841797,46.4583444480803,45.0649452667875,46.387791057759785,35975900
2016-02-29,44.870933532714844,45.549994826644834,44.67691505897168,45.285422957296504,31654000
2016-03-01,46.37017059326172,46.37898808772721,44.906217563271746,44.95031512811481,33024500
2016-03-02,46.69646072387695,46.705278216267,45.999761079076016,46.22023539470889,29289900
2016-03-03,46.167320251464844,46.714098975295954,45.6646390820051,46.714098975295954,24427800
2016-03-04,45.8851318359375,46.25553058363963,45.602924868246554,46.211436375720254,33034200
2016-03-07,45.003211975097656,45.682273206737726,44.60636093582022,45.470619767679196,38407800
2016-03-08,45.54999923706055,45.97330955916575,44.62400433302331,44.80038447494332,33835100
2016-03-09,46.599464416503906,46.608281911340505,45.73520526312093,45.76166111180274,28251600
2016-03-10,45.90275192260742,46.687639949372574,45.11786389584227,46.67882245696704,38387800
2016-03-11,46.80229187011719,46.80229187011719,46.19378391264751,46.740559325048004,32275700
2016-03-14,46.89048767089844,47.26088636403301,46.4142655856853,46.484815635128314,24083600
2016-03-15,47.260887145996094,47.260887145996094,46.511275616880134,46.520093111641934,21104800
2016-03-16,47.93112564086914,48.15160000603261,47.09332574458543,47.13741994478376,31691700
2016-03-17,48.204498291015625,48.50434345786745,47.62244630408804,47.80764389898076,28223900
2016-03-18,47.172698974609375,48.47790687697852,47.137422267044045,48.43380931043587,67625500
2016-03-21,47.499000549316406,47.56073310604179,46.67883559376832,46.96104252856207,23925700
2016-03-22,47.68418884277344,47.8429306329011,47.14623092780427,47.27851687430112,23124100
2016-03-23,47.59600067138672,47.83411335766297,47.39316468622651,47.719465761121505,20129000
2016-03-24,47.80765914916992,47.913489263585134,47.384348784024304,47.48135804015237,19950000
2016-03-28,47.216796875,47.878220054878575,47.03159919203534,47.80766663422217,17025100
2016-03-29,48.248592376708984,48.38087829517229,47.13740344546576,47.322601039977854,23924300
2016-03-30,48.548439025878906,49.0687584959996,48.416156467545626,48.44261230637813,23008300
2016-03-31,48.70718765258789,49.02467122001089,48.380886592368135,48.46025748422388,26360500
